"index","opportunity_id","n_conversations","timestamp","company","gender","type","total_amount","status","status_update_timestamp","default_lang","discount_codes","actual_order_items","source","product_ids","raw_order_items","raw_actual_order_items","parsing_errors"
"375","c02e8721-7f41-4d18-a79f-0499de49caac",0,"2025-03-14 13:21:02","Company A","male","Abandoned Cart","NULL","NULL","NULL","NULL","NULL","NULL","NULL","[]","""[{item_id"": ""40782410219678"",product_id: ""6958786969758"",title: ""מגן מזרן Poly Jersey"",item_title: ""90*200"",price: ""139.00"",country: ""IL""},{""item_id"": ""40782429028510"",product_id: ""6958786969758"",title: ""מגן מזרן Poly Jersey"",item_title: ""120*200"",price: ""159.00"",country: ""IL""},{""item_id"": ""40782432436382""""","NULL","{'order_items': 'raw_order_items contain unexpected data', 'suffix': 'failed', 'suffix_data': '{""item_id"": ""40782432436382""'}"
"376","9e8638e0-c195-445f-bf0d-5008468d20ac",1,"2025-03-14 13:42:35","Company A","female","Abandoned Cart","NULL","NULL","NULL","NULL","NULL","NULL","NULL","[]","""[{item_id"": ""41956996939934"",product_id: ""7302446514334"",title: ""כרית גוף ארוכה"",item_title: ""None"",price: ""299.00"",country: ""IL""},{""item_id"": ""42363368046750"",product_id: ""7424996376734"",title: ""ציפית לכרית גוף ארוכה"",item_title: ""אפור אטלנטי"",price: ""99.00"",country: ""IL""},{""item_id"": ""44196964106398""""","NULL","{'order_items': 'raw_order_items contain unexpected data', 'suffix': 'failed', 'suffix_data': '{""item_id"": ""44196964106398""'}"
"377","c083176a-4344-4736-aec5-b63ec954aadb",0,"2025-03-14 13:51:34","Company A","female","Abandoned Cart","NULL","NULL","NULL","NULL","NULL","NULL","NULL","['6736320463006', '4598299000971', '1391958392893', '7835552252062', '5389149634718', '4833841447051', '7322628391070']","""[{product_id"": 6736320463006,item_id: ""n/a""},{""product_id"": 4598299000971,item_id: ""n/a""},{""product_id"": 1391958392893,item_id: ""n/a""},{""product_id"": 7835552252062,item_id: ""n/a""},{""product_id"": 5389149634718,item_id: ""n/a""},{""product_id"": 4833841447051,item_id: ""n/a""},{""product_id"": 7322628391070""","NULL","{'suffix': 'failed', 'suffix_data': '{""product_id"": 7322628391070'}"
"378","6f6a7c0d-04b4-419b-bf5c-93fba1a53330",1,"2025-03-14 14:50:02","Company A","female","Abandoned Cart","NULL","NULL","NULL","NULL","NULL","NULL","NULL","[]","""[{item_id"": ""32554115432587"",product_id: ""4598299000971"",title: ""מזרן פנדה פרימיום"",item_title: ""160*200"",price: ""5199.00"",country: ""IL""},{""item_id"": ""42702846722206"",product_id: ""7521201750174"",title: ""גב מיטה ראטן טבעי"",item_title: ""160*200 / Natural"",price: ""199.00"",country: ""IL""},{""item_id"": ""42683885879454""""","NULL","{'order_items': 'raw_order_items contain unexpected data', 'suffix': 'failed', 'suffix_data': '{""item_id"": ""42683885879454""'}"
"379","443e40a0-6c0e-49a6-9642-b4087c32042e",2,"2025-03-14 15:10:03","Company A","male","Abandoned Cart","NULL","NULL","NULL","NULL","NULL","NULL","NULL","[]","""[{item_id"": ""40782432436382"",product_id: ""6958786969758"",title: ""\u05de\u05d2\u05df \u05de\u05d6\u05e8\u05df Poly Jersey"",item_title: ""180*200"",price: ""199.00"",country: ""IL""},{""item_id"": ""37141772402846"",product_id: ""5960910930078"",title: ""\u05de\u05e6\u05e2\u05d9 SunWashed"",item_title: ""180*200 \u05e7\u05d9\u05e0\u05d2 \u05e1\u05d9\u05d9\u05d6 / \u05dc\u05d1\u05df \u05e9\u05de\u05e0\u05ea"",price: ""279.00"",country: ""IL""},{""item_id"": ""42363368210590""""","NULL","{'order_items': 'raw_order_items contain unexpected data', 'suffix': 'failed', 'suffix_data': '{""item_id"": ""42363368210590""'}"
"380","da9c3de2-1821-4ede-8491-3ef887b3c09b",0,"2025-03-14 15:20:34","Company A","female","Abandoned Cart","0","ClosedWon","2025-04-24 12:28:03","he","{'code': 'הזמנה חזרה למחסן', 'amount': '1198.00', 'type': 'percentage'}","NULL","NULL","[]","""[{item_id"": ""43089612013726"",product_id: ""7440410443934"",title: ""הדום לפוף"",item_title: ""לבן בוקלה"",price: ""299.00"",country: ""IL""},{""item_id"": ""51653700387184"",product_id: ""14625839481200"",title: ""כורסאת פוף ויסקו בוקלה"",item_title: ""לבן בוקלה / פוף גדול"",price: ""799.00"",country: ""IL""}]"",0""","[{product_id"": ""7440410443934""title: ""הדום לפוף""","{'order_items': 'raw_order_items contain unexpected data', 'actual_order_items': 'failed'}"
"381","09fcabb8-9154-48d8-acf0-175421fe4a9a",1,"2025-03-14 16:22:31","Company A","female","Abandoned Cart","NULL","NULL","NULL","NULL","NULL","NULL","NULL","[]","""[{item_id"": ""42433391231134"",product_id: ""7440410443934"",title: ""הדום לפוף"",item_title: ""בז'"",price: ""299.00"",country: ""IL""},{""item_id"": ""42433399324830"",product_id: ""7440414441630"",title: ""כורסאת פוף ויסקו"",item_title: ""בז' / פוף ענק"",price: ""899.00"",country: ""IL""},{""item_id"": ""42702846722206""""","NULL","{'order_items': 'raw_order_items contain unexpected data', 'suffix': 'failed', 'suffix_data': '{""item_id"": ""42702846722206""'}"
"382","fb5f2c49-943c-43a6-9242-3b50d72aa30e",0,"2025-03-14 22:13:31","Company A","female","Abandoned Cart","NULL","NULL","NULL","NULL","NULL","NULL","NULL","[]","""[{item_id"": ""40782430142622"",product_id: ""6958786969758"",title: ""מגן מזרן Poly Jersey"",item_title: ""160*200"",price: ""189.00"",country: ""IL""},{""item_id"": ""44007206453406"",product_id: ""5960910930078"",title: ""מצעי SunWashed"",item_title: ""160*200 מיטה זוגית / אפור אבן"",price: ""259.00"",country: ""IL""},{""item_id"": ""44004324212894""""","NULL","{'order_items': 'raw_order_items contain unexpected data', 'suffix': 'failed', 'suffix_data': '{""item_id"": ""44004324212894""'}"
"383","d84d26ef-6b03-42b8-90cf-fbc060c96754",0,"2025-04-19 16:27:32","Company A","female","Abandoned Cart","3008.6","ClosedWon","2025-04-19 17:20:15","he","{'code': 'MIMUNA', 'amount': '1289.40', 'type': 'percentage'}","NULL","NULL","[]","""[{item_id"": ""42613896380574"",product_id: ""7498616438942"",title: ""גב מיטה עץ מלא"",item_title: ""160 / Natural"",price: ""799.00"",country: ""IL""},{""item_id"": ""42683885879454"",product_id: ""7439153332382"",title: ""מיטה מעץ מלא Natural"",item_title: ""160*200 / Natural"",price: ""3499.00"",country: ""IL""}]"",3008.6""","[{product_id"": ""7498616438942""title: ""גב מיטה עץ מלא""","{'order_items': 'raw_order_items contain unexpected data', 'actual_order_items': 'failed'}"
"384","0e1ebf17-bf0d-4e97-8db4-bd9c6c3950dc",1,"2025-03-15 4:42:02","Company A","female","Abandoned Cart","1999","ClosedWon","2025-03-30 4:03:05","he","{'code': 'TOM', 'amount': '1999.00', 'type': 'percentage'}","NULL","NULL","[]","""[{item_id"": ""43870857429150"",product_id: ""7440414441630"",title: ""כורסאת פוף ויסקו"",item_title: ""בז' / פוף גדול"",price: ""799.00"",country: ""IL""}]"",1999""","[{product_id"": ""7530113728670""title: ""ספת לאונג' מודולרית""","{'order_items': 'raw_order_items contain unexpected data', 'actual_order_items': 'failed'}"
